Skipped: net=-16.0, entity=E103000:Qatar RE Partners C.Q.S.C. (under liquidation), icp=FCCS_No Intercompany:No Intercompany, acct=512045:512045:Bank charges account
Skipped: net=16.0, entity=E103000:Qatar RE Partners C.Q.S.C. (under liquidation), icp=FCCS_No Intercompany:No Intercompany, acct=FCCS_Discontinued Operations Income:Discontinued Operations Income
Skipped: net=26297323.0, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=120002:120002:Buildings - Cost
Skipped: net=2445917.94, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=120003:120003:Machinery and equipment - Cost
Skipped: net=15728703.39, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=120008:120008:Office and air conditioning equipment - Cost
Skipped: net=-26297323.0, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=127001:127001:Building - Accumulated depreciation
Skipped: net=-1083748.69, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=127002:127002:Machinery and Equipment - Accumulated depreciation
Skipped: net=-15728703.39, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=127007:127007:Office and air conditioning Equipment - Accumulated depreciation
Skipped: net=-1362169.25, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=-20340466.09, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=165003:165003:Advances provided for related parties
Skipped: net=88717872.52, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=165003:165003:Advances provided for related parties
Skipped: net=-372121154.15, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=165003:165003:Advances provided for related parties
Skipped: net=372121154.15, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=167012:167012:Other receivables
Skipped: net=-54484231.68, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=167005:167005:Clients receivable
Skipped: net=-291598988.71, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=167012:167012:Other receivables
Skipped: net=-45221753.67, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=187012:187012:Current - Other receivables
Skipped: net=391304974.06, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=187205:187205:Contract Assets
Skipped: net=12984.28, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=167012:167012:Other receivables
Skipped: net=-13260.5, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=183101:183101:Cash on hand.
Skipped: net=276.22, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=185163:185163:Call account - QAR
Skipped: net=41234.45, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=167012:167012:Other receivables
Skipped: net=-41234.45, entity=001033:PORR-SBG-HBK Joint Operation (Underground), icp=FCCS_No Intercompany:No Intercompany, acct=215001:215001:Employees' End of Service Benefits
